zip,donations,estimate,total,donations_per_1000
21671,57,984,2785.99,57.926829268292686
21672,2,161,46.05,12.422360248447204
21673,188,3270,8611.570000000002,57.49235474006116
21675,1,90,25,11.11111111111111
21676,21,424,710.0500000000001,49.528301886792455
21677,128,446,1134.9900000000007,286.99551569506724
21678,43,1842,1922.5899999999997,23.344191096634095
21679,81,289,2694.7099999999996,280.27681660899657
21701,6057,37017,114826.3500000018,163.62752248966692
21702,5174,41815,126991.27000000182,123.73550161425325
21703,2098,37473,67041.95000000004,55.98697729031569
21704,1240,16887,58343.60999999997,73.42926511517736
21705,33,3,1493.22,11000
21710,301,4859,13761.380000000008,61.94690265486726
21711,27,1076,898.0700000000002,25.092936802973977
21713,1288,10728,40229.73999999996,120.05965697240866
21714,12,216,290.82000000000005,55.55555555555555
21716,540,5078,16379.819999999992,106.34107916502559
21717,54,77,1939.79,701.2987012987013
21718,6,151,494.52,39.735099337748345
21719,58,1002,2473.4699999999993,57.88423153692615
21722,317,5748,9866.599999999997,55.149617258176754
21723,215,759,3686.479999999998,283.2674571805007
21727,756,6792,28446.509999999995,111.30742049469964
21733,22,897,980.28,24.526198439241917
21734,64,816,1267.72,78.43137254901961
21737,149,2462,9376.609999999995,60.519902518277824
21738,1641,3827,31309.770000000022,428.7954010974654
21740,41865,61768,136944.65000000247,677.7781375469498
21742,5487,33483,163741.37000000075,163.87420482035662
21746,9,3008,552.02,2.992021276595745
21750,165,3694,5061.7199999999975,44.66702761234434
21754,1220,6667,39970.79999999996,182.9908504574771
21755,504,5603,21364.609999999982,89.95181152953775
21756,336,3056,22238.630000000005,109.9476439790576
21757,196,2793,10792.840000000004,70.17543859649122
21758,1294,5127,30557.549999999916,252.3893114881997
21762,53,202,2202.48,262.3762376237624
21766,177,483,1711.669999999999,366.4596273291926
21767,271,650,2927.9700000000003,416.9230769230769
21769,1570,11629,39481.69999999997,135.0073093129246
21770,723,5513,20556.359999999997,131.14456738617812
21771,6746,29901,150894.49000000267,225.61118357245576
21773,402,5431,13039.27,74.01951758423864
21774,2844,13092,60800.73000000003,217.23189734188816
21776,1147,5516,15895.469999999972,207.94053662073966
21777,105,1868,5306.590000000001,56.20985010706638
21778,138,909,3602.839999999998,151.81518151815183
21779,121,1032,6273.829999999999,117.24806201550388
21780,106,1614,3914.229999999999,65.67534076827756
21782,271,4495,8791.65,60.28921023359288
21783,718,8894,14984.93999999998,80.72858106588711
21784,6982,37365,355008.319999996,186.85936036397698
21787,1154,10173,26892.229999999985,113.43753071856875
21788,986,11910,20376.15,82.78757346767422
21791,1011,5245,16003.319999999983,192.75500476644422
21793,1537,10416,46443.080000000016,147.56144393241166
